"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","2661745","Gary E. McGraw","","","","Software Security: A Study in Technology Transfer","1--1","","1","code review, security, static analysis, technolgy adoption, technology transfer","10.1145/2660252.2661745","","","","","","","2014","","Proceedings of the Companion Publication of the 2014 ACM SIGPLAN Conference on Systems, Programming, and Applications: Software for Humanity","SPLASH '14","","978-1-4503-3208-8","Portland, Oregon, USA","ACM","New York, NY, USA"
"article","3205832","Andrew  Petersen and Daniel  Zingaro","","","","Code Reviews in Large, First-year Courses","354--355","","2","CS1, code review, peer review, studio-based learning","10.1145/3197091.3205832","","","","","","","2018","","Proceedings of the 23rd Annual ACM Conference on Innovation and Technology in Computer Science Education","ITiCSE 2018","","978-1-4503-5707-4","Larnaca, Cyprus","ACM","New York, NY, USA"
"article","2597074","Eirini  Kalliamvakou and Georgios  Gousios and Kelly  Blincoe and Leif  Singer and Daniel M.  German and Daniela  Damian","","","","The Promises and Perils of Mining GitHub","92--101","","10","Mining software repositories, bias, code reviews, git, github","10.1145/2597073.2597074","","","","","","","2014","","Proceedings of the 11th Working Conference on Mining Software Repositories","MSR 2014","","978-1-4503-2863-0","Hyderabad, India","ACM","New York, NY, USA"
"article","1562893","Harald  Sondergaard","","","","Learning from and with Peers: The Different Roles of Student Peer Reviewing","31--35","","5","code reviews, praze, staged assessment, student peer reviewing","10.1145/1562877.1562893","","","","","","","2009","","Proceedings of the 14th Annual ACM SIGCSE Conference on Innovation and Technology in Computer Science Education","ITiCSE '09","","978-1-60558-381-5","Paris, France","ACM","New York, NY, USA"
"article","1562893","Harald  Sondergaard","","","","Learning from and with Peers: The Different Roles of Student Peer Reviewing","31--35","","5","code reviews, praze, staged assessment, student peer reviewing","10.1145/1595496.1562893","SIGCSE Bull.","September 2009","41","3","","July","2009","0097-8418","","","","","","ACM","New York, NY, USA"
"article","782120","Diane  Kelly and Terry  Shepard","","","","Qualitative Observations from Software Code Inspection Experiments","5--","","","software development process, software inspection techniques, software metrics","","","","","","","","2002","","Proceedings of the 2002 Conference of the Centre for Advanced Studies on Collaborative Research","CASCON '02","","","Toronto, Ontario, Canada","IBM Press",""
"article","3103173","Felix  Schuckert and Basel  Katt and Hanno  Langweg","","","","Source Code Patterns of SQL Injection Vulnerabilities","72:1--72:7","72","7","Code Review, Data Mining, PHP, Software Security, Sql Injection, Vulnerabilities","10.1145/3098954.3103173","","","","","","","2017","","Proceedings of the 12th International Conference on Availability, Reliability and Security","ARES '17","","978-1-4503-5257-4","Reggio Calabria, Italy","ACM","New York, NY, USA"
"article","1047492","Deborah A. Trytten","","","","A Design for Team Peer Code Review","455--459","","5","cooperative learning, education, peer code review, software engineering, team work","10.1145/1047124.1047492","SIGCSE Bull.","2005","37","1","","February","2005","0097-8418","","","","","","ACM","New York, NY, USA"
"article","1047492","Deborah A. Trytten","","","","A Design for Team Peer Code Review","455--459","","5","cooperative learning, education, peer code review, software engineering, team work","10.1145/1047344.1047492","","","","","","","2005","","Proceedings of the 36th SIGCSE Technical Symposium on Computer Science Education","SIGCSE '05","","1-58113-997-7","St. Louis, Missouri, USA","ACM","New York, NY, USA"
"article","858411","Yusuf  Pisan and Debbie  Richards and Anthony  Sloane and Helena  Koncek and Simon  Mitchell","","","","Submit! A Web-based System for Automatic Program Critiquing","59--68","","10","code reviews, integrated learning environments, learning computer programming","","","","","","","","2003","","Proceedings of the Fifth Australasian Conference on Computing Education - Volume 20","ACE '03","","0-909925-98-4","Adelaide, Australia","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia"
"article","2168642","Bonita  Sharif and Michael  Falcone and Jonathan I. Maletic","","","","An Eye-tracking Study on the Role of Scan Time in Finding Source Code Defects","381--384","","4","eye-tracking study, software defects, source-code review","10.1145/2168556.2168642","","","","","","","2012","","Proceedings of the Symposium on Eye Tracking Research and Applications","ETRA '12","","978-1-4503-1221-9","Santa Barbara, California","ACM","New York, NY, USA"
"article","2593705","Patanamon  Thongtanunam and Raula Gaikovina  Kula and Ana Erika Camargo  Cruz and Norihiro  Yoshida and Hajimu  Iida","","","","Improving Code Review Effectiveness Through Reviewer Recommendations","119--122","","4","Open Source Software, Peer Code Review, Recommendation System, Software Quality","10.1145/2593702.2593705","","","","","","","2014","","Proceedings of the 7th International Workshop on Cooperative and Human Aspects of Software Engineering","CHASE 2014","","978-1-4503-2860-9","Hyderabad, India","ACM","New York, NY, USA"
"article","1352169","Scott A. Turner and Ricardo  Quintana-Castillo and Manuel A. P&#233;rez-Qui&#241;ones and Stephen H. Edwards","","","","Misunderstandings About Object-oriented Design: Experiences Using Code Reviews","97--101","","5","code review, evaluation, object-oriented, reading code, student learning","10.1145/1352322.1352169","SIGCSE Bull.","March 2008","40","1","","March","2008","0097-8418","","","","","","ACM","New York, NY, USA"
"article","1352169","Scott A. Turner and Ricardo  Quintana-Castillo and Manuel A. P&#233;rez-Qui&#241;ones and Stephen H. Edwards","","","","Misunderstandings About Object-oriented Design: Experiences Using Code Reviews","97--101","","5","code review, evaluation, object-oriented, reading code, student learning","10.1145/1352135.1352169","","","","","","","2008","","Proceedings of the 39th SIGCSE Technical Symposium on Computer Science Education","SIGCSE '08","","978-1-59593-799-5","Portland, OR, USA","ACM","New York, NY, USA"
"article","1747556","Ewen  Denney and Bernd  Fischer","","","","A Verification-Driven Approach to Traceability and Documentation for Auto-Generated Mathematical Software","560--564","","5","automated code generation, model-based design, verification and validation, code reviews","10.1109/ASE.2009.71","","","","","","","2009","","Proceedings of the 2009 IEEE/ACM International Conference on Automated Software Engineering","ASE '09","","978-0-7695-3891-4","","IEEE Computer Society","Washington, DC, USA"
"article","2635880","Amiangshu  Bosu and Jeffrey C.  Carver and Munawar  Hafiz and Patrick  Hilley and Derek  Janni","","","","Identifying the Characteristics of Vulnerable Code Changes: An Empirical Study","257--268","","12","code review, inspection, open source, security defects, vulnerability","10.1145/2635868.2635880","","","","","","","2014","","Proceedings of the 22Nd ACM SIGSOFT International Symposium on Foundations of Software Engineering","FSE 2014","","978-1-4503-3056-5","Hong Kong, China","ACM","New York, NY, USA"
"article","359602","Glenford J. Myers","","","","A Controlled Experiment in Program Testing and Code Walkthroughs/Inspections","760--768","","9","code inspections, code walkthroughs, debugging, personnel selection, program verification, software reliability, testing","10.1145/359588.359602","Commun. ACM","Sept. 1978","21","9","","September","1978","0001-0782","","","","","","ACM","New York, NY, USA"
"article","3200503","Rafael Maiani de Mello and Roberto  Oliveira and Alessandro  Garcia","","","","On the Influence of Human Factors for Identifying Code Smells: A Multi-trial Empirical Study","68--77","","10","code review, code smell identification, collaboration, context, human factors, replication","10.1109/ESEM.2017.13","","","","","","","2017","","Proceedings of the 11th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement","ESEM '17","","978-1-5090-4039-1","Markham, Ontario, Canada","IEEE Press","Piscataway, NJ, USA"
"article","2904362","Tobias  Baum and Fabian  Kortum and Kurt  Schneider and Arthur  Brack and Jens  Schauder","","","","Comparing Pre Commit Reviews and Post Commit Reviews Using Process Simulation","26--35","","10","Agile software development, code review, discrete event simulation, post commit review, pre commit review","10.1145/2904354.2904362","","","","","","","2016","","Proceedings of the International Conference on Software and Systems Process","ICSSP '16","","978-1-4503-4188-2","Austin, Texas","ACM","New York, NY, USA"
"article","581349","Alastair  Dunsmore and Marc  Roper and Murray  Wood","","","","Further Investigations into the Development and Evaluation of Reading Techniques for Object-oriented Code Inspection","47--57","","11","","10.1145/581339.581349","","","","","","","2002","","Proceedings of the 24th International Conference on Software Engineering","ICSE '02","","1-58113-472-X","Orlando, Florida","ACM","New York, NY, USA"
"article","253234","J. M. Perpich and D. E. Perry and A. A. Porter and L. G. Votta and M. W. Wade","","","","Anywhere, Anytime Code Inspections: Using the Web to Remove Inspection Bottlenecks in Large-scale Software Development","14--21","","8","asynchronous, automated support for inspections, meetingless, natural occurring inspection experiment, web-based","10.1145/253228.253234","","","","","","","1997","","Proceedings of the 19th International Conference on Software Engineering","ICSE '97","","0-89791-914-9","Boston, Massachusetts, USA","ACM","New York, NY, USA"
"article","2414726","Amiangshu  Bosu and Jeffrey C. Carver","","","","Peer Code Review in Open Source Communitiesusing Reviewboard","17--24","","8","code review, mining repositories, open source software, peer review, review board","10.1145/2414721.2414726","","","","","","","2012","","Proceedings of the ACM 4th Annual Workshop on Evaluation and Usability of Programming Languages and Tools","PLATEAU '12","","978-1-4503-1631-6","Tucson, Arizona, USA","ACM","New York, NY, USA"
"article","1357153","Neeraja  Subrahmaniyan and Laura  Beckwith and Valentina  Grigoreanu and Margaret  Burnett and Susan  Wiedenbeck and Vaishnavi  Narayanan and Karin  Bucht and Russell  Drummond and Xiaoli  Fern","","","","Testing vs. Code Inspection vs. What else?: Male and Female End Users' Debugging Strategies","617--626","","10","debugging, end-user programming, end-user software engineering, gender, strategy","10.1145/1357054.1357153","","","","","","","2008","","Proceedings of the SIGCHI Conference on Human Factors in Computing Systems","CHI '08","","978-1-60558-011-1","Florence, Italy","ACM","New York, NY, USA"
"article","364693","Larry  Colen","","","","Code Reviews","","11","","","","Linux J.","January 2001","2001","81es","","January","2001","1075-3583","","","","","","Belltown Media","Houston, TX"
"article","2819372","Martin  Konopka and Pavol  Navrat","","","","Untangling Development Tasks with Software Developer's Activity","13--14","","2","code change, code review, composite change, developer activity, interaction data, tangled change, task context","","","","","","","","2015","","Proceedings of the Second International Workshop on Context for Software Development","CSD '15","","","Florence, Italy","IEEE Press","Piscataway, NJ, USA"
"article","2652544","Amiangshu  Bosu and Jeffrey C. Carver","","","","Impact of Developer Reputation on Code Review Outcomes in OSS Projects: An Empirical Investigation","33:1--33:10","33","10","code review, network structure, open source, peer impression, social network analysis","10.1145/2652524.2652544","","","","","","","2014","","Proceedings of the 8th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement","ESEM '14","","978-1-4503-2774-9","Torino, Italy","ACM","New York, NY, USA"
"article","1414027","Medha  Umarji and Carolyn  Seaman","","","","Why Do Programmers Avoid Metrics?","129--138","","10","code review, in-process metrics, phase containment, quality, software metrics, static analysis, unit testing","10.1145/1414004.1414027","","","","","","","2008","","Proceedings of the Second ACM-IEEE International Symposium on Empirical Software Engineering and Measurement","ESEM '08","","978-1-59593-971-5","Kaiserslautern, Germany","ACM","New York, NY, USA"
"article","3127014","Christopher  Thompson and David  Wagner","","","","A Large-Scale Study of Modern Code Review and Security in Open Source Projects","83--92","","10","code review, mining software repositories, multiple regression models, quantification models, software quality, software security","10.1145/3127005.3127014","","","","","","","2017","","Proceedings of the 13th International Conference on Predictive Models and Data Analytics in Software Engineering","PROMISE","","978-1-4503-5305-2","Toronto, Canada","ACM","New York, NY, USA"
"article","1159761","Margaret A. Wojcicki and Paul  Strooper","","","","Maximising the Information Gained from an Experimental Analysis of Code Inspection and Static Analysis for Concurrent Java Components","174--183","","10","concurrent Java components, controlled experiment, verification and validation","10.1145/1159733.1159761","","","","","","","2006","","Proceedings of the 2006 ACM/IEEE International Symposium on Empirical Software Engineering","ISESE '06","","1-59593-218-6","Rio de Janeiro, Brazil","ACM","New York, NY, USA"
"article","267915","Murray  Wood and Marc  Roper and Andrew  Brooks and James  Miller","","","","Comparing and Combining Software Defect Detection Techniques: A Replicated Empirical Study","262--277","","16","code reading, code review, empirical study, functional testing, replication, software testing, structural testing","10.1145/267895.267915","","","","","","","1997","","Proceedings of the 6th European SOFTWARE ENGINEERING Conference Held Jointly with the 5th ACM SIGSOFT International Symposium on Foundations of Software Engineering","ESEC '97/FSE-5","","3-540-63531-9","Zurich, Switzerland","Springer-Verlag New York, Inc.","New York, NY, USA"
"article","267915","Murray  Wood and Marc  Roper and Andrew  Brooks and James  Miller","","","","Comparing and Combining Software Defect Detection Techniques: A Replicated Empirical Study","262--277","","16","code reading, code review, empirical study, functional testing, replication, software testing, structural testing","10.1145/267896.267915","SIGSOFT Softw. Eng. Notes","Nov. 1997","22","6","","November","1997","0163-5948","","","","","","ACM","New York, NY, USA"
"article","2491444","Peter C.  Rigby and Christian  Bird","","","","Convergent Contemporary Software Peer Review Practices","202--212","","11","Empirical Software Engineering, Inspection, Open source software, Peer code review, Software firms","10.1145/2491411.2491444","","","","","","","2013","","Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering","ESEC/FSE 2013","","978-1-4503-2237-9","Saint Petersburg, Russia","ACM","New York, NY, USA"
"article","1352171","Yanqing  WANG and LI  Yijun and Michael  Collins and Peijie  LIU","","","","Process Improvement of Peer Code Review and Behavior Analysis of Its Participants","107--111","","5","behavior analysis, computer science education, learning outcome, peer code review (pcr), software quality assurance (sqa)","10.1145/1352322.1352171","SIGCSE Bull.","March 2008","40","1","","March","2008","0097-8418","","","","","","ACM","New York, NY, USA"
"article","1352171","Yanqing  WANG and LI  Yijun and Michael  Collins and Peijie  LIU","","","","Process Improvement of Peer Code Review and Behavior Analysis of Its Participants","107--111","","5","behavior analysis, computer science education, learning outcome, peer code review (pcr), software quality assurance (sqa)","10.1145/1352135.1352171","","","","","","","2008","","Proceedings of the 39th SIGCSE Technical Symposium on Computer Science Education","SIGCSE '08","","978-1-59593-799-5","Portland, OR, USA","ACM","New York, NY, USA"
"article","2889244","Mohammad Masudur Rahman and Chanchal K. Roy and Jason A. Collins","","","","CoRReCT: Code Reviewer Recommendation in GitHub Based on Cross-project and Technology Experience","222--231","","10","GitHub, code reviewer recommendation, cross-project experience, pull request, specialized technology experience","10.1145/2889160.2889244","","","","","","","2016","","Proceedings of the 38th International Conference on Software Engineering Companion","ICSE '16","","978-1-4503-4205-6","Austin, Texas","ACM","New York, NY, USA"
"article","2351727","Huiqing  Li and Simon  Thompson","","","","Automated API Migration in a User-extensible Refactoring Tool for Erlang Programs","294--297","","4","API migration, Erlang, Wrangler, refactoring, rewrite rule, software engineering, template","10.1145/2351676.2351727","","","","","","","2012","","Proceedings of the 27th IEEE/ACM International Conference on Automated Software Engineering","ASE 2012","","978-1-4503-1204-2","Essen, Germany","ACM","New York, NY, USA"
"article","3180217","Daniel M. German and Gregorio  Robles and Germ&#225;n  Poo-Caama&#241;o and Xin  Yang and Hajimu  Iida and Katsuro  Inoue","","","","Was My Contribution Fairly Reviewed?: A Framework to Study the Perception of Fairness in Modern Code Reviews","523--534","","12","fairness, human and social aspects, modern code review, open source software, software development, transparency","10.1145/3180155.3180217","","","","","","","2018","","Proceedings of the 40th International Conference on Software Engineering","ICSE '18","","978-1-4503-5638-1","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","2970283","Mohammad Masudur  Rahman and Chanchal K.  Roy and Jesse  Redl and Jason A.  Collins","","","","CORRECT: Code Reviewer Recommendation at GitHub for Vendasta Technologies","792--797","","6","Code reviewer recommendation, GitHub, cross-project experience, pull request, specialized technology experience","10.1145/2970276.2970283","","","","","","","2016","","Proceedings of the 31st IEEE/ACM International Conference on Automated Software Engineering","ASE 2016","","978-1-4503-3845-5","Singapore, Singapore","ACM","New York, NY, USA"
"article","3104216","Mohammad Masudur Rahman and Chanchal K. Roy and Raula G. Kula","","","","Predicting Usefulness of Code Review Comments Using Textual Features and Developer Experience","215--226","","12","change triggering capability, code element, code review quality, review comment usefulness, reviewing experience","10.1109/MSR.2017.17","","","","","","","2017","","Proceedings of the 14th International Conference on Mining Software Repositories","MSR '17","","978-1-5386-1544-7","Buenos Aires, Argentina","IEEE Press","Piscataway, NJ, USA"
"article","3264841","Yuan  Huang and Nan  Jia and Xiangping  Chen and Kai  Hong and Zibin  Zheng","","","","Salient-class Location: Help Developers Understand Code Change in Code Review","770--774","","5","Code Change, Code Commit, Code Comprehension, Code Discriminative Features, Code Review","10.1145/3236024.3264841","","","","","","","2018","","Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering","ESEC/FSE 2018","","978-1-4503-5573-5","Lake Buena Vista, FL, USA","ACM","New York, NY, USA"
"article","2856649","Sai Krishna Sripada and Y. Raghu Reddy and Shivam  Khandelwal","","","","Architecting an Extensible Framework for Gamifying Software Engineering Concepts","119--130","","12","Architecture, Code review, Game Design Elements, Gamification, REST API, Services, Web Hooks","10.1145/2856636.2856649","","","","","","","2016","","Proceedings of the 9th India Software Engineering Conference","ISEC '16","","978-1-4503-4018-2","Goa, India","ACM","New York, NY, USA"
"article","222144","A.  Porter and H.  Siy and C. A. Toman and L. G. Votta","","","","An Experiment to Assess the Cost-benefits of Code Inspections in Large Scale Software Development","92--103","","12","","10.1145/222132.222144","SIGSOFT Softw. Eng. Notes","Oct. 1995","20","4","","October","1995","0163-5948","","","","","","ACM","New York, NY, USA"
"article","222144","A.  Porter and H.  Siy and C. A. Toman and L. G. Votta","","","","An Experiment to Assess the Cost-benefits of Code Inspections in Large Scale Software Development","92--103","","12","","10.1145/222124.222144","","","","","","","1995","","Proceedings of the 3rd ACM SIGSOFT Symposium on Foundations of Software Engineering","SIGSOFT '95","","0-89791-716-2","Washington, D.C., USA","ACM","New York, NY, USA"
"article","2597081","Monika  Gupta and Ashish  Sureka and Srinivas  Padmanabhuni","","","","Process Mining Multiple Repositories for Software Defect Resolution from Control and Organizational Perspective","122--131","","10","Empirical Software Engineering and Measurements, Issue Tracking System, Peer Code Review System, Process Mining, Social Network Analysis, Software Maintenance","10.1145/2597073.2597081","","","","","","","2014","","Proceedings of the 11th Working Conference on Mining Software Repositories","MSR 2014","","978-1-4503-2863-0","Hyderabad, India","ACM","New York, NY, USA"
"article","2038674","Klaus  Havelund and Gerard J. Holzmann","","","","Software Certification: Coding, Code, and Coders","205--210","","6","code review, coding standards, logic model checking, safety- and mission-critical software, static source code analysis, unit testing","10.1145/2038642.2038674","","","","","","","2011","","Proceedings of the Ninth ACM International Conference on Embedded Software","EMSOFT '11","","978-1-4503-0714-7","Taipei, Taiwan","ACM","New York, NY, USA"
"article","2889191","Stephan  Krusche and Mjellma  Berisha and Bernd  Bruegge","","","","Teaching Code Review Management Using Branch Based Workflows","384--393","","10","branching model, capstone course, code quality, distributed version control, merge request, pair programming, peer learning, pull request","10.1145/2889160.2889191","","","","","","","2016","","Proceedings of the 38th International Conference on Software Engineering Companion","ICSE '16","","978-1-4503-4205-6","Austin, Texas","ACM","New York, NY, USA"
"article","3287289","  CACM Staff","","","","CodeFlow: Improving the Code Review Process at Microsoft","36--44","","9","","10.1145/3287289","Commun. ACM","February 2019","62","2","","January","2019","0001-0782","","","","","","ACM","New York, NY, USA"
"article","2820541","Yida  Tao and Sunghun  Kim","","","","Partitioning Composite Code Changes to Facilitate Code Review","180--190","","11","","","","","","","","","2015","","Proceedings of the 12th Working Conference on Mining Software Repositories","MSR '15","","978-0-7695-5594-2","Florence, Italy","IEEE Press","Piscataway, NJ, USA"
"article","2841224","Hala  Assal","","","","Collaborative Security Code Review","439--444","","6","","10.1145/2836041.2841224","","","","","","","2015","","Proceedings of the 14th International Conference on Mobile and Ubiquitous Multimedia","MUM '15","","978-1-4503-3605-5","Linz, Austria","ACM","New York, NY, USA"
"article","2897130","Zhiyuan  Chen","","","","Helping Mobile Software Code Reviewers: A Study of Bug Repair and Refactoring Patterns","34--35","","2","","10.1145/2897073.2897130","","","","","","","2016","","Proceedings of the International Conference on Mobile Software Engineering and Systems","MOBILESoft '16","","978-1-4503-4178-3","Austin, Texas","ACM","New York, NY, USA"
"article","3292420","Jacek  Czerwonka and Michaela  Greiler and Christian  Bird and Lucas  Panjer and Terry  Coatta","","","","CodeFlow: Improving the Code Review Process at Microsoft","20:81--20:100","20","20","","10.1145/3291276.3292420","Queue","September-October 2018","16","5","","October","2018","1542-7730","","","","","","ACM","New York, NY, USA"
"article","2818771","Tianyi  Zhang and Myoungkyu  Song and Joseph  Pinedo and Miryung  Kim","","","","Interactive Code Review for Systematic Changes","111--122","","12","","","","","","","","","2015","","Proceedings of the 37th International Conference on Software Engineering - Volume 1","ICSE '15","","978-1-4799-1934-5","Florence, Italy","IEEE Press","Piscataway, NJ, USA"
"article","3104255","Mohammad Masudur Rahman and Chanchal K. Roy","","","","Impact of Continuous Integration on Code Reviews","499--502","","4","","10.1109/MSR.2017.39","","","","","","","2017","","Proceedings of the 14th International Conference on Mining Software Repositories","MSR '17","","978-1-5386-1544-7","Buenos Aires, Argentina","IEEE Press","Piscataway, NJ, USA"
"article","2486915","Vipin  Balachandran","","","","Reducing Human Effort and Improving Quality in Peer Code Reviews Using Automatic Static Analysis and Reviewer Recommendation","931--940","","10","","","","","","","","","2013","","Proceedings of the 2013 International Conference on Software Engineering","ICSE '13","","978-1-4673-3076-3","San Francisco, CA, USA","IEEE Press","Piscataway, NJ, USA"
"article","3183525","Caitlin  Sadowski and Emma  S&#246;derberg and Luke  Church and Michal  Sipko and Alberto  Bacchelli","","","","Modern Code Review: A Case Study at Google","181--190","","10","","10.1145/3183519.3183525","","","","","","","2018","","Proceedings of the 40th International Conference on Software Engineering: Software Engineering in Practice","ICSE-SEIP '18","","978-1-4503-5659-6","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","2458564","Sophie  Engle and Sami  Rollins","","","","Expert Code Review and Mastery Learning in a Software Development Course","139--147","","9","","","J. Comput. Sci. Coll.","April 2013","28","4","","April","2013","1937-4771","","","","","","Consortium for Computing Sciences in Colleges","USA"
"article","2820542","Christian  Bird and Trevor  Carnahan and Michaela  Greiler","","","","Lessons Learned from Building and Deploying a Code Review Analytics Platform","191--201","","11","","","","","","","","","2015","","Proceedings of the 12th Working Conference on Mining Software Repositories","MSR '15","","978-0-7695-5594-2","Florence, Italy","IEEE Press","Piscataway, NJ, USA"
"article","1241672","Alessandra Devito Da Cunha and David  Greathead","","","","Does Personality Matter?: An Analysis of Code-review Ability","109--112","","4","","10.1145/1230819.1241672","Commun. ACM","May 2007","50","5","","May","2007","0001-0782","","","","","","ACM","New York, NY, USA"
"article","2818773","Mike  Barnett and Christian  Bird and Jo&#227;o  Brunet and Shuvendu K. Lahiri","","","","Helping Developers Help Themselves: Automatic Decomposition of Code Review Changesets","134--144","","11","","","","","","","","","2015","","Proceedings of the 37th International Conference on Software Engineering - Volume 1","ICSE '15","","978-1-4799-1934-5","Florence, Italy","IEEE Press","Piscataway, NJ, USA"
"article","2903504","Xin  Yang and Raula Gaikovina Kula and Norihiro  Yoshida and Hajimu  Iida","","","","Mining the Modern Code Review Repositories: A Dataset of People, Process and Product","460--463","","4","","10.1145/2901739.2903504","","","","","","","2016","","Proceedings of the 13th International Conference on Mining Software Repositories","MSR '16","","978-1-4503-4186-8","Austin, Texas","ACM","New York, NY, USA"
"article","2820538","Amiangshu  Bosu and Michaela  Greiler and Christian  Bird","","","","Characteristics of Useful Code Reviews: An Empirical Study at Microsoft","146--156","","11","","","","","","","","","2015","","Proceedings of the 12th Working Conference on Mining Software Repositories","MSR '15","","978-0-7695-5594-2","Florence, Italy","IEEE Press","Piscataway, NJ, USA"
"article","2884852","Patanamon  Thongtanunam and Shane  McIntosh and Ahmed E. Hassan and Hajimu  Iida","","","","Revisiting Code Ownership and Its Relationship with Software Quality in the Scope of Modern Code Review","1039--1050","","12","expertise, ownership, software quality","10.1145/2884781.2884852","","","","","","","2016","","Proceedings of the 38th International Conference on Software Engineering","ICSE '16","","978-1-4503-3900-1","Austin, Texas","ACM","New York, NY, USA"
"article","1378744","Bertrand  Meyer","","","","Design and Code Reviews in the Age of the Internet","66--71","","6","","10.1145/1378727.1378744","Commun. ACM","September 2008","51","9","","September","2008","0001-0782","","","","","","ACM","New York, NY, USA"
"article","1083114","A. G&#252;nes Koru and A. Ant Ozok and Anthony F. Norcio","","","","The Effect of Human Memory Organization on Code Reviews Under Different Single and Pair Code Reviewing Scenarios","1--3","","3","","10.1145/1082983.1083114","","","","","","","2005","","Proceedings of the 2005 Workshop on Human and Social Factors of Software Engineering","HSSE '05","","1-59593-120-1","St. Louis, Missouri","ACM","New York, NY, USA"
"article","1083114","A. G&#252;nes Koru and A. Ant Ozok and Anthony F. Norcio","","","","The Effect of Human Memory Organization on Code Reviews Under Different Single and Pair Code Reviewing Scenarios","1--3","","3","","10.1145/1082983.1083114","SIGSOFT Softw. Eng. Notes","July 2005","30","4","","May","2005","0163-5948","","","","","","ACM","New York, NY, USA"
"article","2384724","Francesco  Logozzo and Michael  Barnett and Manuel A. F&#228;hndrich and Patrick  Cousot and Radhia  Cousot","","","","A Semantic Integrated Development Environment","15--16","","2","abstract interpretation, design by contract, integrated development enviroment, method extraction, program repair, program transformation, refactoring, static analysis","10.1145/2384716.2384724","","","","","","","2012","","Proceedings of the 3rd Annual Conference on Systems, Programming, and Applications: Software for Humanity","SPLASH '12","","978-1-4503-1563-0","Tucson, Arizona, USA","ACM","New York, NY, USA"
"article","2601280","Guoping  Rong and He  Zhang and Dong  Shao","","","","Investigating Code Reading Techniques for Novice Inspectors: An Industrial Case Study","33:1--33:10","33","10","code reading, industrial case study, novice inspectors","10.1145/2601248.2601280","","","","","","","2014","","Proceedings of the 18th International Conference on Evaluation and Assessment in Software Engineering","EASE '14","","978-1-4503-2476-2","London, England, United Kingdom","ACM","New York, NY, USA"
"article","1449892","Joseph  Bergin and Rick  Mercer and David  West and Robert C. Duvall and Eugene  Wallingford and Pamela M. Rostal and Richard P. Gabriel","","","","A Snapshot of Studio Based Learning: Code Reviews As a Means of Community Building","887--888","","2","facilitating active learning, learner-centered education, teaching and learning techniques","10.1145/1449814.1449892","","","","","","","2008","","Companion to the 23rd ACM SIGPLAN Conference on Object-oriented Programming Systems Languages and Applications","OOPSLA Companion '08","","978-1-60558-220-7","Nashville, TN, USA","ACM","New York, NY, USA"
"article","2975947","Aziz  Nanthaamornphong and Apatta  Chaisutanon","","","","Empirical Evaluation of Code Smells in Open Source Projects: Preliminary Results","5--8","","4","Software engineering, code smell, open source software","10.1145/2975945.2975947","","","","","","","2016","","Proceedings of the 1st International Workshop on Software Refactoring","IWoR 2016","","978-1-4503-4509-5","Singapore, Singapore","ACM","New York, NY, USA"
"article","979934","Daniel  Powell","","","","Automatic Derivation of Loop Termination Conditions to Support Verification","89--97","","9","automated formal methods, loop termination, verification","","","","","","","","2004","","Proceedings of the 27th Australasian Conference on Computer Science - Volume 26","ACSC '04","","","Dunedin, New Zealand","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia"
"article","2247570","Christopher  Hundhausen","","","","Explorations of Studio-based Learning in Computing Education","1--1","","1","","10.1145/2247569.2247570","","","","","","","2012","","Proceedings of the Seventeenth Western Canadian Conference on Computing Education","WCCCE '12","","978-1-4503-1407-7","Vancouver, British Columbia, Canada","ACM","New York, NY, USA"
"article","807796","Karl Ernst Schnurer","","","","Product Assurance Program Analyzer (P.A.P.A.) a Tool for Program Complexity Evaluation","73--74","","2","","10.1145/1010675.807796","SIGMETRICS Perform. Eval. Rev.","Fall 1982","11","3","","August","1982","0163-5999","","","","","","ACM","New York, NY, USA"
"article","807796","Karl Ernst Schnurer","","","","Product Assurance Program Analyzer (P.A.P.A.) a Tool for Program Complexity Evaluation","73--74","","2","","10.1145/800201.807796","","","","","","","1982","","Selected Papers of the 1982 ACM SIGMETRICS Workshop on Software Metrics: Part 2","SCORE '82","","0-89791-086-9","Seattle, Washington","ACM","New York, NY, USA"
"article","781956","Xiaolin  Li","","","","A Comparison-based Approach for Software Inspection","41--","","","","","","","","","","","1995","","Proceedings of the 1995 Conference of the Centre for Advanced Studies on Collaborative Research","CASCON '95","","","Toronto, Ontario, Canada","IBM Press",""
